Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Lloc_de_procedencia,Nombre
2018,1,Ciutat Vella,1,el Raval,Andalusia,77
2018,1,Ciutat Vella,2,el Barri Gòtic,Andalusia,47
2018,1,Ciutat Vella,3,la Barceloneta,Andalusia,54
2018,1,Ciutat Vella,4,Sant Pere,Andalusia,45
2018,2,Eixample,5,el Fort Pienc,Andalusia,65
2018,2,Eixample,6,la Sagrada Familia,Andalusia,118
2018,2,Eixample,7,la Dreta de l'Eixample,Andalusia,60
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Andalusia,75
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,Andalusia,83
2018,2,Eixample,10,Sant Antoni,Andalusia,75
2018,3,Sants-Montjuic,11,el Poble Sec,Andalusia,90
2018,3,Sants-Montjuic,12,la Marina del Prat Vermell,Andalusia,1
2018,3,Sants-Montjuic,13,la Marina de Port,Andalusia,29
2018,3,Sants-Montjuic,14,la Font de la Guatlla,Andalusia,10
2018,3,Sants-Montjuic,15,Hostafrancs,Andalusia,29
2018,3,Sants-Montjuic,16,la Bordeta,Andalusia,30
2018,3,Sants-Montjuic,17,Sants - Badal,Andalusia,28
2018,3,Sants-Montjuic,18,Sants,Andalusia,73
2018,4,Les Corts,19,les Corts,Andalusia,48
2018,4,Les Corts,20,la Maternitat i Sant Ramon,Andalusia,29
2018,4,Les Corts,21,Pedralbes,Andalusia,12
2018,5,Sarria-Sant Gervasi,22,Vallvidrera,Andalusia,1
2018,5,Sarria-Sant Gervasi,23,Sarria,Andalusia,32
2018,5,Sarria-Sant Gervasi,24,les Tres Torres,Andalusia,4
2018,5,Sarria-Sant Gervasi,25,Sant Gervasi - la Bonanova,Andalusia,26
2018,5,Sarria-Sant Gervasi,26,Sant Gervasi - Galvany,Andalusia,33
2018,5,Sarria-Sant Gervasi,27,el Putxet i el Farró,Andalusia,29
2018,6,Gracia,28,Vallcarca i els Penitents,Andalusia,17
2018,6,Gracia,29,el Coll,Andalusia,15
2018,6,Gracia,30,la Salut,Andalusia,16
2018,6,Gracia,31,la Vila de Gracia,Andalusia,91
2018,6,Gracia,32,el Camp d'en Grassot i Gracia Nova,Andalusia,48
2018,7,Horta-Guinardó,33,el Baix Guinardó,Andalusia,31
2018,7,Horta-Guinardó,34,Can Baró,Andalusia,10
2018,7,Horta-Guinardó,35,el Guinardó,Andalusia,40
2018,7,Horta-Guinardó,36,la Font d'en Fargues,Andalusia,8
2018,7,Horta-Guinardó,37,el Carmel,Andalusia,32
2018,7,Horta-Guinardó,38,la Teixonera,Andalusia,15
2018,7,Horta-Guinardó,39,Sant Genis dels Agudells,Andalusia,8
2018,7,Horta-Guinardó,40,Montbau,Andalusia,11
2018,7,Horta-Guinardó,41,la Vall d'Hebron,Andalusia,6
2018,7,Horta-Guinardó,42,la Clota,Andalusia,1
2018,7,Horta-Guinardó,43,Horta,Andalusia,18
2018,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Andalusia,22
2018,8,Nou Barris,45,Porta,Andalusia,39
2018,8,Nou Barris,46,el Turó de la Peira,Andalusia,16
2018,8,Nou Barris,47,Can Peguera,Andalusia,1
2018,8,Nou Barris,48,la Guineueta,Andalusia,17
2018,8,Nou Barris,49,Canyelles,Andalusia,3
2018,8,Nou Barris,50,les Roquetes,Andalusia,22
2018,8,Nou Barris,51,Verdun,Andalusia,20
2018,8,Nou Barris,52,la Prosperitat,Andalusia,36
2018,8,Nou Barris,53,la Trinitat Nova,Andalusia,7
2018,8,Nou Barris,54,Torre Baró,Andalusia,5
2018,8,Nou Barris,55,Ciutat Meridiana,Andalusia,16
2018,8,Nou Barris,56,Vallbona,Andalusia,0
2018,9,Sant Andreu,57,la Trinitat Vella,Andalusia,19
2018,9,Sant Andreu,58,Baró de Viver,Andalusia,2
2018,9,Sant Andreu,59,el Bon Pastor,Andalusia,9
2018,9,Sant Andreu,60,Sant Andreu,Andalusia,44
2018,9,Sant Andreu,61,la Sagrera,Andalusia,26
2018,9,Sant Andreu,62,el Congrés i els Indians,Andalusia,13
2018,9,Sant Andreu,63,Navas,Andalusia,12
2018,10,Sant Marti,64,el Camp de l'Arpa del Clot,Andalusia,63
2018,10,Sant Marti,65,el Clot,Andalusia,29
2018,10,Sant Marti,66,el Parc i la Llacuna del Poblenou,Andalusia,29
2018,10,Sant Marti,67,la Vila Olimpica del Poblenou,Andalusia,15
2018,10,Sant Marti,68,el Poblenou,Andalusia,29
2018,10,Sant Marti,69,Diagonal Mar i el Front Maritim del Poblenou,Andalusia,9
2018,10,Sant Marti,70,el Besòs i el Maresme,Andalusia,32
2018,10,Sant Marti,71,Provençals del Poblenou,Andalusia,20
2018,10,Sant Marti,72,Sant Marti de Provençals,Andalusia,34
2018,10,Sant Marti,73,la Verneda i la Pau,Andalusia,42
2018,1,Ciutat Vella,1,el Raval,Aragó,36
2018,1,Ciutat Vella,2,el Barri Gòtic,Aragó,12
2018,1,Ciutat Vella,3,la Barceloneta,Aragó,4
2018,1,Ciutat Vella,4,Sant Pere,Aragó,17
2018,2,Eixample,5,el Fort Pienc,Aragó,19
2018,2,Eixample,6,la Sagrada Familia,Aragó,31
2018,2,Eixample,7,la Dreta de l'Eixample,Aragó,23
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Aragó,37
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,Aragó,41
2018,2,Eixample,10,Sant Antoni,Aragó,16
2018,3,Sants-Montjuic,11,el Poble Sec,Aragó,18
2018,3,Sants-Montjuic,12,la Marina del Prat Vermell,Aragó,0
2018,3,Sants-Montjuic,13,la Marina de Port,Aragó,14
2018,3,Sants-Montjuic,14,la Font de la Guatlla,Aragó,10
2018,3,Sants-Montjuic,15,Hostafrancs,Aragó,10
2018,3,Sants-Montjuic,16,la Bordeta,Aragó,8
2018,3,Sants-Montjuic,17,Sants - Badal,Aragó,14
2018,3,Sants-Montjuic,18,Sants,Aragó,29
2018,4,Les Corts,19,les Corts,Aragó,30
2018,4,Les Corts,20,la Maternitat i Sant Ramon,Aragó,9
2018,4,Les Corts,21,Pedralbes,Aragó,15
2018,5,Sarria-Sant Gervasi,22,Vallvidrera,Aragó,0
2018,5,Sarria-Sant Gervasi,23,Sarria,Aragó,5
2018,5,Sarria-Sant Gervasi,24,les Tres Torres,Aragó,3
2018,5,Sarria-Sant Gervasi,25,Sant Gervasi - la Bonanova,Aragó,11
2018,5,Sarria-Sant Gervasi,26,Sant Gervasi - Galvany,Aragó,11
2018,5,Sarria-Sant Gervasi,27,el Putxet i el Farró,Aragó,13
2018,6,Gracia,28,Vallcarca i els Penitents,Aragó,0
2018,6,Gracia,29,el Coll,Aragó,2
2018,6,Gracia,30,la Salut,Aragó,6
2018,6,Gracia,31,la Vila de Gracia,Aragó,22
2018,6,Gracia,32,el Camp d'en Grassot i Gracia Nova,Aragó,19
2018,7,Horta-Guinardó,33,el Baix Guinardó,Aragó,10
2018,7,Horta-Guinardó,34,Can Baró,Aragó,2
2018,7,Horta-Guinardó,35,el Guinardó,Aragó,14
2018,7,Horta-Guinardó,36,la Font d'en Fargues,Aragó,5
2018,7,Horta-Guinardó,37,el Carmel,Aragó,16
2018,7,Horta-Guinardó,38,la Teixonera,Aragó,4
2018,7,Horta-Guinardó,39,Sant Genis dels Agudells,Aragó,2
2018,7,Horta-Guinardó,40,Montbau,Aragó,1
2018,7,Horta-Guinardó,41,la Vall d'Hebron,Aragó,2
2018,7,Horta-Guinardó,42,la Clota,Aragó,0
2018,7,Horta-Guinardó,43,Horta,Aragó,8
2018,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Aragó,6
2018,8,Nou Barris,45,Porta,Aragó,11
2018,8,Nou Barris,46,el Turó de la Peira,Aragó,9
2018,8,Nou Barris,47,Can Peguera,Aragó,0
2018,8,Nou Barris,48,la Guineueta,Aragó,2
2018,8,Nou Barris,49,Canyelles,Aragó,1
2018,8,Nou Barris,50,les Roquetes,Aragó,9
2018,8,Nou Barris,51,Verdun,Aragó,7
2018,8,Nou Barris,52,la Prosperitat,Aragó,2
2018,8,Nou Barris,53,la Trinitat Nova,Aragó,5
2018,8,Nou Barris,54,Torre Baró,Aragó,1
2018,8,Nou Barris,55,Ciutat Meridiana,Aragó,4
2018,8,Nou Barris,56,Vallbona,Aragó,0
2018,9,Sant Andreu,57,la Trinitat Vella,Aragó,4
2018,9,Sant Andreu,58,Baró de Viver,Aragó,2
2018,9,Sant Andreu,59,el Bon Pastor,Aragó,4
2018,9,Sant Andreu,60,Sant Andreu,Aragó,23
2018,9,Sant Andreu,61,la Sagrera,Aragó,6
2018,9,Sant Andreu,62,el Congrés i els Indians,Aragó,5
2018,9,Sant Andreu,63,Navas,Aragó,8
2018,10,Sant Marti,64,el Camp de l'Arpa del Clot,Aragó,22
2018,10,Sant Marti,65,el Clot,Aragó,7
2018,10,Sant Marti,66,el Parc i la Llacuna del Poblenou,Aragó,3
2018,10,Sant Marti,67,la Vila Olimpica del Poblenou,Aragó,1
2018,10,Sant Marti,68,el Poblenou,Aragó,11
2018,10,Sant Marti,69,Diagonal Mar i el Front Maritim del Poblenou,Aragó,4
2018,10,Sant Marti,70,el Besòs i el Maresme,Aragó,13
2018,10,Sant Marti,71,Provençals del Poblenou,Aragó,7
2018,10,Sant Marti,72,Sant Marti de Provençals,Aragó,10
2018,10,Sant Marti,73,la Verneda i la Pau,Aragó,6
2018,1,Ciutat Vella,1,el Raval,Principat d'Astúries,6
2018,1,Ciutat Vella,2,el Barri Gòtic,Principat d'Astúries,6
2018,1,Ciutat Vella,3,la Barceloneta,Principat d'Astúries,7
2018,1,Ciutat Vella,4,Sant Pere,Principat d'Astúries,7
2018,2,Eixample,5,el Fort Pienc,Principat d'Astúries,4
2018,2,Eixample,6,la Sagrada Familia,Principat d'Astúries,20
2018,2,Eixample,7,la Dreta de l'Eixample,Principat d'Astúries,9
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Principat d'Astúries,11
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,Principat d'Astúries,12
2018,2,Eixample,10,Sant Antoni,Principat d'Astúries,8
2018,3,Sants-Montjuic,11,el Poble Sec,Principat d'Astúries,3
2018,3,Sants-Montjuic,12,la Marina del Prat Vermell,Principat d'Astúries,0
2018,3,Sants-Montjuic,13,la Marina de Port,Principat d'Astúries,2
2018,3,Sants-Montjuic,14,la Font de la Guatlla,Principat d'Astúries,6
