Codi_districte,Nom_districte,Lloc_de_procedencia,Nombre
1,Ciutat Vella,Andalusia,223
1,Ciutat Vella,Aragó,69
1,Ciutat Vella,Principat d'Astúries,6
1,Ciutat Vella,Principat d'Astúries,6
1,Ciutat Vella,Principat d'Astúries,7
1,Ciutat Vella,Principat d'Astúries,7
1,Ciutat Vella,Illes Balears,64
1,Ciutat Vella,Illes Balears,27
1,Ciutat Vella,Illes Balears,17
1,Ciutat Vella,Illes Balears,38
1,Ciutat Vella,Canaries,47
1,Ciutat Vella,Canaries,34
1,Ciutat Vella,Canaries,9
1,Ciutat Vella,Canaries,16
1,Ciutat Vella,Cantabria,5
1,Ciutat Vella,Cantabria,5
1,Ciutat Vella,Cantabria,5
1,Ciutat Vella,Cantabria,4
1,Ciutat Vella,Castella i Lleó,28
1,Ciutat Vella,Castella i Lleó,21
1,Ciutat Vella,Castella i Lleó,9
1,Ciutat Vella,Castella i Lleó,9
1,Ciutat Vella,Castella - la Manxa,17
1,Ciutat Vella,Castella - la Manxa,21
1,Ciutat Vella,Castella - la Manxa,3
1,Ciutat Vella,Castella - la Manxa,8
1,Ciutat Vella,Catalunya,1165
1,Ciutat Vella,Catalunya,578
1,Ciutat Vella,Catalunya,323
1,Ciutat Vella,Catalunya,553
1,Ciutat Vella,Comunitat Valenciana,109
1,Ciutat Vella,Comunitat Valenciana,49
1,Ciutat Vella,Comunitat Valenciana,28
1,Ciutat Vella,Comunitat Valenciana,32
1,Ciutat Vella,Extremadura,12
1,Ciutat Vella,Extremadura,2
1,Ciutat Vella,Extremadura,1
1,Ciutat Vella,Extremadura,1
1,Ciutat Vella,Galicia,35
1,Ciutat Vella,Galicia,9
1,Ciutat Vella,Galicia,6
1,Ciutat Vella,Galicia,23
1,Ciutat Vella,Comunitat de Madrid,124
1,Ciutat Vella,Comunitat de Madrid,69
1,Ciutat Vella,Comunitat de Madrid,53
1,Ciutat Vella,Comunitat de Madrid,67
1,Ciutat Vella,Regió de Múrcia,24
1,Ciutat Vella,Regió de Múrcia,5
1,Ciutat Vella,Regió de Múrcia,0
1,Ciutat Vella,Regió de Múrcia,6
1,Ciutat Vella,Comunitat Foral de Navarra,3
1,Ciutat Vella,Comunitat Foral de Navarra,5
1,Ciutat Vella,Comunitat Foral de Navarra,5
1,Ciutat Vella,Comunitat Foral de Navarra,2
1,Ciutat Vella,Pais Basc,44
1,Ciutat Vella,Pais Basc,16
1,Ciutat Vella,Pais Basc,10
1,Ciutat Vella,Pais Basc,20
1,Ciutat Vella,Rioja,7
1,Ciutat Vella,Rioja,4
1,Ciutat Vella,Rioja,4
1,Ciutat Vella,Rioja,0
1,Ciutat Vella,Ceuta,1
1,Ciutat Vella,Ceuta,4
1,Ciutat Vella,Ceuta,0
1,Ciutat Vella,Ceuta,0
1,Ciutat Vella,Melilla,12
1,Ciutat Vella,Melilla,7
1,Ciutat Vella,Melilla,0
1,Ciutat Vella,Melilla,1
